,sec_of_week,gps_week_number,utc,position_type,numsv,ins_status,temperature,latitude,longitude,altitude,north_velocity,east_velocity,ground_velocity,roll,pitch,heading,x_angular_velocity,y_angular_velocity,z_angular_velocity,x_acc,y_acc,z_acc,latitude_std,longitude_std,altitude_std,north_velocity_std,east_velocity_std,ground_velocity_std,roll_std,pitch_std,heading_std,atb_0,atb_1,atb_2,q_x,q_y,q_z,q_w,fl_wheel_vel,fr_wheel_vel,rl_wheel_vel,rr_wheel_vel,l_wheel_factor,r_wheel_factor,time_stamp,seq,time_valid,timestamp_sab_vehicle,x_angular_velocity_bias,y_angular_velocity_bias,z_angular_velocity_bias,x_acc_bias,y_acc_bias,z_acc_bias,gps_velocity,wheel_speed,dv,new_longitude,new_latitude
2919,283734700,2272,1690354116.7,5,27,1,0.0,29.58005750868056,106.46738878038192,232.818,-12.502,-13.961,0.079,2.695,-0.15,222.012,1.11591735357354,0.707947568396116,0.078994149580921,0.212,0.442,10.602,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010759,0.02096,0.913349,-0.406495,18.5625,18.5625,18.5625,18.65625,1.0067,1.0067,3222.7,298288,1,0,0,0,0,0,0,0,18.740585,18.585938,0.154647,106.46344572063053,29.582670029113295
2920,283734710,2272,1690354116.71,5,27,1,0.0,29.580053168402777,106.4673882378472,232.818,-12.502,-13.961,0.079,2.703,-0.138,222.013,0.792941273641413,1.22390935553227,0.054995926923426,0.153,0.558,10.479,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010687,0.021065,0.91335,-0.406489,18.5625,18.546875,18.5625,18.59375,1.0067,1.0067,3222.71,298289,1,0,0,0,0,0,0,0,18.740585,18.566406,0.174179,106.46344517698931,29.58266568886937
2921,283734720,2272,1690354116.72,5,27,1,0.0,29.580052897135417,106.4673890516493,232.818,-12.502,-13.961,0.079,2.699,-0.118,222.014,-0.395970673848677,1.986852850851814,-0.011999111328749,0.21,0.67,10.075,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010514,0.021105,0.913352,-0.406487,18.5625,18.546875,18.5625,18.59375,1.0067,1.0067,3222.72,298290,1,0,0,0,0,0,0,0,18.740585,18.566406,0.174179,106.463445992865,29.582665419789812
2922,283734730,2272,1690354116.73,5,27,1,0.0,29.580052897135417,106.4673882378472,232.819,-12.502,-13.961,0.079,2.694,-0.094,222.016,-0.546959491402086,2.341826560993935,0.064995186364049,0.206,0.395,9.617,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010308,0.021144,0.913358,-0.406478,18.5625,18.5625,18.5625,18.625,1.0067,1.0067,3222.73,298291,1,0,0,0,0,0,0,0,18.740585,18.578125,0.16246,106.46344517700585,29.58266541769155
2923,283734740,2272,1690354116.74,5,27,1,0.0,29.580052897135417,106.46738389756943,232.819,-12.502,-13.961,0.079,2.694,-0.081,222.017,0.059995556643737,1.281905060287884,0.03099770426593,0.256,0.466,9.383,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010206,0.021196,0.91336,-0.406473,18.5625,18.5625,18.5625,18.625,1.0067,1.0067,3222.74,298292,1,0,0,0,0,0,0,0,18.740585,18.578125,0.16246,106.46344082575753,29.582665406501118
2924,283734750,2272,1690354116.75,5,27,1,0.0,29.580052625868056,106.46738335503473,232.818,-12.502,-13.961,0.079,2.697,-0.076,222.017,0.217983855805583,0.555958824898644,0.0609954825878,0.069,0.685,9.508,50,50,82,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010169,0.021233,0.913362,-0.406467,18.5625,18.5625,18.5625,18.625,1.0067,1.0067,3222.75,298293,1,0,0,0,0,0,0,0,18.740585,18.578125,0.16246,106.46344028186809,29.58266513392453
2925,283734760,2272,1690354116.76,5,27,1,0.0,29.580047471788195,106.46738389756943,232.818,-12.502,-13.961,0.079,2.688,-0.07,222.018,-0.760943643431422,0.451966526716164,0.039997037762491,0.053,0.51,9.71,50,50,81,128,260,163,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010093,0.021189,0.913364,-0.406466,18.578125,18.5625,18.578125,18.671875,1.0067,1.0067,3222.76,298294,1,0,0,0,0,0,0,0,18.740585,18.597656,0.142929,106.46344082608859,29.5826599829448
2926,283734770,2272,1690354116.77,5,27,1,0.0,29.58004828559028,106.4673787434896,232.818,-12.505,-13.949,0.079,2.689,-0.065,222.018,0.09999259440623,0.390971044128363,0.041996889650616,0.101,0.683,9.556,50,50,81,118,210,138,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.010061,0.021212,0.913366,-0.406462,18.578125,18.5625,18.578125,18.671875,1.0067,1.0067,3222.77,298295,1,0,0,0,0,0,0,0,18.73365,18.597656,0.135993,106.46343565893226,29.58266078319023
2927,283734780,2272,1690354116.78,5,27,1,0.0,29.58004828559028,106.46737928602433,232.818,-12.505,-13.949,0.079,2.68,-0.063,222.019,-0.969928165740445,0.206984670420897,0.01799866699312,0.223,0.474,9.757,50,50,81,118,210,138,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.01001,0.021143,0.913368,-0.406461,18.578125,18.5625,18.578125,18.671875,1.0067,1.0067,3222.78,298296,1,0,0,0,0,0,0,0,18.73365,18.597656,0.135993,106.4634362028382,29.58266078458894
2928,283734790,2272,1690354116.79,5,27,1,0.0,29.58004801432292,106.4673787434896,232.818,-12.505,-13.949,0.079,2.676,-0.056,222.018,-0.364972969582746,0.694948531123306,-0.053996000979366,0.129,0.274,9.456,50,50,81,118,210,138,0.1,0.1,0.1,-2.8e-05,0.008451,0.003311,-0.009942,0.021139,0.913368,-0.406465,18.59375,18.578125,18.59375,18.65625,1.0067,1.0067,3222.79,298297,1,0,0,0,0,0,0,0,18.73365,18.605469,0.128181,106.46343565894881,29.582660512012417
